"자치구별(1)","항목","시점","경제활동별(1)",데이터
"중구","2020년 기준년 연쇄가격","2015","문화 및 기타 서비스업",706502
"중구","2020년 기준년 연쇄가격","2016","지역내총생산(시장가격)",56056962
"중구","2020년 기준년 연쇄가격","2016","순생산물세",6046639
"중구","2020년 기준년 연쇄가격","2016","총부가가치(기초가격)",49955084
"중구","2020년 기준년 연쇄가격","2016","농업, 임업 및 어업",24
"중구","2020년 기준년 연쇄가격","2016","광업",147
"중구","2020년 기준년 연쇄가격","2016","제조업",1378986
"중구","2020년 기준년 연쇄가격","2016","전기, 가스, 증기 및 공기 조절 공급업",99788
"중구","2020년 기준년 연쇄가격","2016","건설업",635268
"중구","2020년 기준년 연쇄가격","2016","도매 및 소매업",9329769
"중구","2020년 기준년 연쇄가격","2016","운수 및 창고업",1414883
"중구","2020년 기준년 연쇄가격","2016","숙박 및 음식점업",1090618
"중구","2020년 기준년 연쇄가격","2016","정보통신업",7129317
"중구","2020년 기준년 연쇄가격","2016","금융 및 보험업",16632303
"중구","2020년 기준년 연쇄가격","2016","부동산업",1395770
"중구","2020년 기준년 연쇄가격","2016","사업서비스업",6185859
"중구","2020년 기준년 연쇄가격","2016","공공 행정, 국방 및 사회보장 행정",2782703
"중구","2020년 기준년 연쇄가격","2016","교육 서비스업",695494
"중구","2020년 기준년 연쇄가격","2016","보건업 및 사회복지서비스업",492981
"중구","2020년 기준년 연쇄가격","2016","문화 및 기타 서비스업",707807
"중구","2020년 기준년 연쇄가격","2017","지역내총생산(시장가격)",54849236
"중구","2020년 기준년 연쇄가격","2017","순생산물세",5755786
"중구","2020년 기준년 연쇄가격","2017","총부가가치(기초가격)",49010562
"중구","2020년 기준년 연쇄가격","2017","농업, 임업 및 어업",26
"중구","2020년 기준년 연쇄가격","2017","광업",191
"중구","2020년 기준년 연쇄가격","2017","제조업",1488023
"중구","2020년 기준년 연쇄가격","2017","전기, 가스, 증기 및 공기 조절 공급업",108473
"중구","2020년 기준년 연쇄가격","2017","건설업",526453
"중구","2020년 기준년 연쇄가격","2017","도매 및 소매업",9635039
"중구","2020년 기준년 연쇄가격","2017","운수 및 창고업",1445720
"중구","2020년 기준년 연쇄가격","2017","숙박 및 음식점업",1016081
"중구","2020년 기준년 연쇄가격","2017","정보통신업",6294478
"중구","2020년 기준년 연쇄가격","2017","금융 및 보험업",16429263
"중구","2020년 기준년 연쇄가격","2017","부동산업",1274611
"중구","2020년 기준년 연쇄가격","2017","사업서비스업",6204529
"중구","2020년 기준년 연쇄가격","2017","공공 행정, 국방 및 사회보장 행정",2769044
"중구","2020년 기준년 연쇄가격","2017","교육 서비스업",657386
"중구","2020년 기준년 연쇄가격","2017","보건업 및 사회복지서비스업",521930
"중구","2020년 기준년 연쇄가격","2017","문화 및 기타 서비스업",683206
"중구","2020년 기준년 연쇄가격","2018","지역내총생산(시장가격)",58170656
"중구","2020년 기준년 연쇄가격","2018","순생산물세",6271651
"중구","2020년 기준년 연쇄가격","2018","총부가가치(기초가격)",51835888
"중구","2020년 기준년 연쇄가격","2018","농업, 임업 및 어업",37
"중구","2020년 기준년 연쇄가격","2018","광업",37
"중구","2020년 기준년 연쇄가격","2018","제조업",1377044
"중구","2020년 기준년 연쇄가격","2018","전기, 가스, 증기 및 공기 조절 공급업",91810
"중구","2020년 기준년 연쇄가격","2018","건설업",545824
"중구","2020년 기준년 연쇄가격","2018","도매 및 소매업",9861975
"중구","2020년 기준년 연쇄가격","2018","운수 및 창고업",1576952
"중구","2020년 기준년 연쇄가격","2018","숙박 및 음식점업",1089845
"중구","2020년 기준년 연쇄가격","2018","정보통신업",6559511
"중구","2020년 기준년 연쇄가격","2018","금융 및 보험업",17078763
"중구","2020년 기준년 연쇄가격","2018","부동산업",1367248
"중구","2020년 기준년 연쇄가격","2018","사업서비스업",7716294
"중구","2020년 기준년 연쇄가격","2018","공공 행정, 국방 및 사회보장 행정",2780660
"중구","2020년 기준년 연쇄가격","2018","교육 서비스업",657175
"중구","2020년 기준년 연쇄가격","2018","보건업 및 사회복지서비스업",579451
"중구","2020년 기준년 연쇄가격","2018","문화 및 기타 서비스업",702815
"중구","2020년 기준년 연쇄가격","2019","지역내총생산(시장가격)",59702291
"중구","2020년 기준년 연쇄가격","2019","순생산물세",5745576
"중구","2020년 기준년 연쇄가격","2019","총부가가치(기초가격)",53812316
"중구","2020년 기준년 연쇄가격","2019","농업, 임업 및 어업",14
"중구","2020년 기준년 연쇄가격","2019","광업",181
"중구","2020년 기준년 연쇄가격","2019","제조업",1538914
"중구","2020년 기준년 연쇄가격","2019","전기, 가스, 증기 및 공기 조절 공급업",89526
"중구","2020년 기준년 연쇄가격","2019","건설업",445509
"중구","2020년 기준년 연쇄가격","2019","도매 및 소매업",10222928
"중구","2020년 기준년 연쇄가격","2019","운수 및 창고업",1533492
"중구","2020년 기준년 연쇄가격","2019","숙박 및 음식점업",1288413
"중구","2020년 기준년 연쇄가격","2019","정보통신업",6946123
"중구","2020년 기준년 연쇄가격","2019","금융 및 보험업",17671711
"중구","2020년 기준년 연쇄가격","2019","부동산업",1344610
"중구","2020년 기준년 연쇄가격","2019","사업서비스업",7976733
"중구","2020년 기준년 연쇄가격","2019","공공 행정, 국방 및 사회보장 행정",2837687
"중구","2020년 기준년 연쇄가격","2019","교육 서비스업",674244
"중구","2020년 기준년 연쇄가격","2019","보건업 및 사회복지서비스업",624698
"중구","2020년 기준년 연쇄가격","2019","문화 및 기타 서비스업",741726
