"시점","자치구별(1)","자치구별(2)",항목,데이터
"2015","서울시","금천구",구성비 (%),3.8
"2015","서울시","금천구",인구(추계인구) (명),251607
"2015","서울시","금천구",1인당 지역내총생산 (천원),58998
"2015","서울시","금천구",수준지수 (서울특별시=100) (%),151.62
"2016","서울시","금천구",지역내총생산 (당해년 가격) (백만원),16910509
"2016","서울시","금천구",구성비 (%),4.2
"2016","서울시","금천구",인구(추계인구) (명),248820
"2016","서울시","금천구",1인당 지역내총생산 (천원),67963
"2016","서울시","금천구",수준지수 (서울특별시=100) (%),164.48
"2017","서울시","금천구",지역내총생산 (당해년 가격) (백만원),18785030
"2017","서울시","금천구",구성비 (%),4.4
"2017","서울시","금천구",인구(추계인구) (명),250238
"2017","서울시","금천구",1인당 지역내총생산 (천원),75069
"2017","서울시","금천구",수준지수 (서울특별시=100) (%),171.66
"2018","서울시","금천구",지역내총생산 (당해년 가격) (백만원),19714847
"2018","서울시","금천구",구성비 (%),4.4
"2018","서울시","금천구",인구(추계인구) (명),247849
"2018","서울시","금천구",1인당 지역내총생산 (천원),79544
"2018","서울시","금천구",수준지수 (서울특별시=100) (%),171.01
"2019","서울시","금천구",지역내총생산 (당해년 가격) (백만원),20253073
"2019","서울시","금천구",구성비 (%),4.3
"2019","서울시","금천구",인구(추계인구) (명),248970
"2019","서울시","금천구",1인당 지역내총생산 (천원),81347
"2019","서울시","금천구",수준지수 (서울특별시=100) (%),168.69
"2020","서울시","금천구",지역내총생산 (당해년 가격) (백만원),18920024
"2020","서울시","금천구",구성비 (%),4.0
"2020","서울시","금천구",인구(추계인구) (명),249361
"2020","서울시","금천구",1인당 지역내총생산 (천원),75874
"2020","서울시","금천구",수준지수 (서울특별시=100) (%),154.32
"2021","서울시","금천구",지역내총생산 (당해년 가격) (백만원),19620062
"2021","서울시","금천구",구성비 (%),3.9
"2021","서울시","금천구",인구(추계인구) (명),248029
"2021","서울시","금천구",1인당 지역내총생산 (천원),79104
"2021","서울시","금천구",수준지수 (서울특별시=100) (%),148.11
"2022","서울시","금천구",지역내총생산 (당해년 가격) (백만원),21034407
"2022","서울시","금천구",구성비 (%),4.0
"2022","서울시","금천구",인구(추계인구) (명),247305
"2022","서울시","금천구",1인당 지역내총생산 (천원),85055
"2022","서울시","금천구",수준지수 (서울특별시=100) (%),151.63
"2015","서울시","노원구",지역내총생산 (당해년 가격) (백만원),5854150
"2015","서울시","노원구",구성비 (%),1.5
"2015","서울시","노원구",인구(추계인구) (명),566097
"2015","서울시","노원구",1인당 지역내총생산 (천원),10341
"2015","서울시","노원구",수준지수 (서울특별시=100) (%),26.58
"2016","서울시","노원구",지역내총생산 (당해년 가격) (백만원),6101772
"2016","서울시","노원구",구성비 (%),1.5
"2016","서울시","노원구",인구(추계인구) (명),560350
"2016","서울시","노원구",1인당 지역내총생산 (천원),10889
"2016","서울시","노원구",수준지수 (서울특별시=100) (%),26.35
"2017","서울시","노원구",지역내총생산 (당해년 가격) (백만원),6676017
"2017","서울시","노원구",구성비 (%),1.6
"2017","서울시","노원구",인구(추계인구) (명),549198
"2017","서울시","노원구",1인당 지역내총생산 (천원),12156
"2017","서울시","노원구",수준지수 (서울특별시=100) (%),27.80
"2018","서울시","노원구",지역내총생산 (당해년 가격) (백만원),6732786
"2018","서울시","노원구",구성비 (%),1.5
"2018","서울시","노원구",인구(추계인구) (명),537562
"2018","서울시","노원구",1인당 지역내총생산 (천원),12525
"2018","서울시","노원구",수준지수 (서울특별시=100) (%),26.93
"2019","서울시","노원구",지역내총생산 (당해년 가격) (백만원),6909482
"2019","서울시","노원구",구성비 (%),1.5
"2019","서울시","노원구",인구(추계인구) (명),527504
"2019","서울시","노원구",1인당 지역내총생산 (천원),13098
"2019","서울시","노원구",수준지수 (서울특별시=100) (%),27.16
"2020","서울시","노원구",지역내총생산 (당해년 가격) (백만원),6952700
"2020","서울시","노원구",구성비 (%),1.5
"2020","서울시","노원구",인구(추계인구) (명),516456
"2020","서울시","노원구",1인당 지역내총생산 (천원),13462
"2020","서울시","노원구",수준지수 (서울특별시=100) (%),27.38
"2021","서울시","노원구",지역내총생산 (당해년 가격) (백만원),7336118
"2021","서울시","노원구",구성비 (%),1.4
"2021","서울시","노원구",인구(추계인구) (명),504709
"2021","서울시","노원구",1인당 지역내총생산 (천원),14535
"2021","서울시","노원구",수준지수 (서울특별시=100) (%),27.22
"2022","서울시","노원구",지역내총생산 (당해년 가격) (백만원),7385041
"2022","서울시","노원구",구성비 (%),1.4
"2022","서울시","노원구",인구(추계인구) (명),498182
"2022","서울시","노원구",1인당 지역내총생산 (천원),14824
"2022","서울시","노원구",수준지수 (서울특별시=100) (%),26.43
"2015","서울시","도봉구",지역내총생산 (당해년 가격) (백만원),3182015
"2015","서울시","도봉구",구성비 (%),0.8
"2015","서울시","도봉구",인구(추계인구) (명),341709
"2015","서울시","도봉구",1인당 지역내총생산 (천원),9312
"2015","서울시","도봉구",수준지수 (서울특별시=100) (%),23.93
