,cold_cnt_d0,cold_cnt_d_plus_1,cold_cnt_d_plus_2,cold_cnt_d_plus_3,dist_name
pm25_streak_d0,0.0390477065445889,-0.0014297498293893158,0.05643919804608266,0.059758432055220405,DIST_11350
pm25_ma_72h,0.15987491492587655,0.1709072974577541,0.1837481140736526,0.18238898298304942,DIST_11350
pm10_avg_d0,0.1446908790450609,0.10504533506600532,0.13921891684517027,0.149335257325311,DIST_11350
pm10_streak_d0,0.0281331820813376,-0.0028111933818525847,0.04434384977444295,0.0733531059966561,DIST_11350
pm10_ma_72h,0.16068992565122206,0.16403032554654176,0.17491163527263548,0.1666448807097889,DIST_11350
temp_avg_d0,-0.2985001449324301,-0.3013796045731909,-0.2970367770795153,-0.295925945100169,DIST_11350
temp_diff_d0,0.12093566068890022,0.10188219852940095,0.10303131653599078,0.10186864125018026,DIST_11350
temp_min_d0,-0.31198220182161884,-0.3098840205087263,-0.3050614176708503,-0.30425589703467704,DIST_11350
is_holiday,-0.45266984170134017,-0.12515548331618928,0.2872895592860381,0.050186086772100444,DIST_11350
std_month,-0.005969534079007346,-0.01585108517783646,-0.002440031712247285,0.003465957236326218,DIST_11350
cold_prev_d1,0.2919468976405605,0.3778138251021211,0.46061383652217797,0.45930405168426186,DIST_11350
cold_prev_d2,0.3772064059018679,0.460617028172062,0.4593391801831046,0.36732079481252705,DIST_11350
cold_prev_d3,0.459387451701288,0.4596196698500834,0.36733108449810453,0.2916499785449072,DIST_11350
pm25_avg_d0,0.14581230499744488,0.09791150266897665,0.12867179214858204,0.15583238216755202,DIST_11380
